# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 16:17:20
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C57B,0xFFFFEE43,0x000012C9,0xB3E1
01,02,0x00011B37,0x00002454,0x00003210,0xB3EF
01,03,0x0000B1EB,0xFFFFDF6A,0x00004CDE,0xB3D9
01,04,0x000105A4,0x0000110D,0x00002A50,0xB3D2
01,05,0x0000B41C,0xFFFFFC0F,0x00002995,0xB3C8
01,06,0x0000DE9B,0xFFFFFBB7,0x00003994,0xB3AC
01,07,0x0000FBC5,0xFFFFD70B,0x00004648,0xB3ED
01,08,0x0000D61B,0xFFFFD20E,0x00003F5E,0xB3E1
01,09,0x0000B01E,0x00000B81,0x00002C73,0xB425
01,10,0x0000CAC0,0xFFFFCD97,0x0000311A,0xB3FE
01,11,0x0000DA0D,0xFFFFFC25,0x00002B93,0xB3F2
01,12,0x0000C962,0xFFFFF5F9,0x00003B62,0xB405
01,13,0x0000C25D,0xFFFFC378,0x00003712,0xB3BC
01,14,0x0000A6F9,0xFFFF95F8,0x00004FBC,0xB3EB
01,15,0x0000A37B,0x00003CBB,0x00001D1E,0xB3D7
01,16,0x0000AD5D,0xFFFFDAD2,0x0000439B,0xB3ED
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000EDFE,0xFFFFEAF0,0x0000465E,0xB3EE
02,02,0x0000DA4A,0xFFFFE71B,0x00002B40,0xB423
02,03,0x0000B79F,0xFFFFE3CF,0x00003584,0xB3C3
02,04,0x0001327F,0x0000195D,0x0000397C,0xB3B3
02,05,0x0000CB50,0x000037F7,0x00005044,0xB3A7
02,06,0x00011AAD,0x00007965,0x00000AA6,0xB3A7
02,07,0x0000E32D,0xFFFFEC86,0x00003F57,0xB40D
02,08,0x0000B612,0xFFFFE969,0x00004EDE,0xB3E2
02,09,0x0000C7BE,0x00000A9E,0x000024FD,0xB3D2
02,10,0x00010970,0xFFFFDF95,0x00004C42,0xB3D7
02,11,0x0000AA67,0xFFFFE941,0x00000585,0xB3F0
02,12,0x00011713,0xFFFFED28,0x000038B0,0xB3B6
02,13,0x0000D931,0xFFFFFB8D,0x00003833,0xB40E
02,14,0x0000B6C7,0xFFFFD421,0x0000483A,0xB3D9
02,15,0x00009FE0,0xFFFFF481,0x00003953,0xB3EB
02,16,0x0000B277,0x0000175B,0x000019B6,0xB41B
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CDB2,0xFFFFC6AB,0x00004E95,0xB3F8
03,02,0x00011A61,0xFFFFF0E4,0x00003458,0xB3DB
03,03,0x000101CC,0x000002D5,0x0000422D,0xB414
03,04,0x0000ED55,0xFFFFFE1B,0x000023FE,0xB3F0
03,05,0x00011856,0xFFFFFACB,0x00006005,0xB394
03,06,0x0000F441,0xFFFFEFB3,0x000026DD,0xB3D2
03,07,0x000120EE,0xFFFFC952,0x00004897,0xB3E7
03,08,0x000134F6,0xFFFFC759,0x000048C8,0xB3F2
03,09,0x0000F699,0xFFFFDCD1,0x00003C2D,0xB3FD
03,10,0x00011F67,0xFFFFC1A6,0x00003C2D,0xB406
03,11,0x0000D4B2,0x0000099C,0x000041C4,0xB430
03,12,0x0000F1C3,0x00004ABC,0x00002AA8,0xB418
03,13,0x0000DE0B,0xFFFFABA3,0x00003A44,0xB3E9
03,14,0x0000DF3F,0xFFFFCDD1,0x00005187,0xB3F2
03,15,0x0000BEE0,0x000001E0,0x00003099,0xB3CB
