# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 14:27:35
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C4A9,0xFFFFEDD7,0x000012A7,0xB3DE
01,02,0x00011A9E,0x000023C6,0x000031CE,0xB3F3
01,03,0x0000B19C,0xFFFFDDBC,0x00004C9A,0xB3D8
01,04,0x00010505,0x00000F34,0x00002992,0xB3CF
01,05,0x0000B421,0xFFFFFCC5,0x00002A00,0xB3C8
01,06,0x0000DEBF,0xFFFFFCC9,0x0000393E,0xB3B3
01,07,0x0000F9C6,0xFFFFD92F,0x000044D8,0xB3F3
01,08,0x0000D62F,0xFFFFD41D,0x00004062,0xB3E0
01,09,0x0000B0C6,0x00000C29,0x00002D99,0xB426
01,10,0x0000CC23,0xFFFFCDD7,0x00003160,0xB3FD
01,11,0x0000D9FC,0xFFFFFD44,0x00002C23,0xB3F0
01,12,0x0000C8B1,0xFFFFF4DC,0x00003C46,0xB403
01,13,0x0000C1F2,0xFFFFC264,0x000037CA,0xB3BE
01,14,0x0000A714,0xFFFF96FA,0x00004EBD,0xB3EB
01,15,0x0000A1C6,0x00003C32,0x00001E04,0xB3DF
01,16,0x0000AD4A,0xFFFFDAE5,0x000041B6,0xB3ED
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000ED02,0xFFFFEB20,0x00004522,0xB3F2
02,02,0x0000DA7A,0xFFFFE760,0x00002BC5,0xB426
02,03,0x0000B86E,0xFFFFE3BD,0x000035E7,0xB3C3
02,04,0x000130EA,0x000019C3,0x00003866,0xB3B6
02,05,0x0000C7DA,0x00003860,0x0000511D,0xB3AB
02,06,0x00011861,0x000079D3,0x00000B98,0xB3A3
02,07,0x0000E108,0xFFFFEE92,0x0000400F,0xB40C
02,08,0x0000B524,0xFFFFEC6A,0x00004F1C,0xB3E3
02,09,0x0000C86A,0x00000AFC,0x0000259E,0xB3CF
02,10,0x00010A95,0xFFFFE163,0x00004C25,0xB3D8
02,11,0x0000AAA6,0xFFFFE9ED,0x000005D8,0xB3F4
02,12,0x0001181B,0xFFFFEC32,0x0000372B,0xB3B4
02,13,0x0000D7EC,0xFFFFFC22,0x000038A5,0xB40D
02,14,0x0000B70B,0xFFFFD4F1,0x0000496D,0xB3DB
02,15,0x0000A040,0xFFFFF4D0,0x0000393A,0xB3EC
