# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 15:38:33
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C455,0xFFFFEEDF,0x0000132B,0xB3DF
01,02,0x00011B5A,0x0000233B,0x00003190,0xB3F1
01,03,0x0000B261,0xFFFFDEF1,0x00004BE2,0xB3D9
01,04,0x000105BD,0x0000104A,0x00002AA7,0xB3D0
01,05,0x0000B447,0xFFFFFC94,0x000028C2,0xB3C8
01,06,0x0000DF9F,0xFFFFFC8C,0x00003984,0xB3AB
01,07,0x0000FA36,0xFFFFD81B,0x00004575,0xB3F7
01,08,0x0000D68A,0xFFFFD304,0x00003F5D,0xB3E0
01,09,0x0000AE8B,0x00000BA4,0x00002C32,0xB428
01,10,0x0000CAC8,0xFFFFCDC2,0x00003155,0xB400
01,11,0x0000D9A5,0xFFFFFDC0,0x00002C65,0xB3F3
01,12,0x0000C854,0xFFFFF6EB,0x00003B26,0xB403
01,13,0x0000C21B,0xFFFFC3D2,0x000037EF,0xB3C0
01,14,0x0000A7EF,0xFFFF9791,0x00005028,0xB3EB
01,15,0x0000A214,0x00003C86,0x00001CDF,0xB3D6
01,16,0x0000AD0B,0xFFFFDB9C,0x00004230,0xB3E9
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000EC28,0xFFFFEAF1,0x000046E1,0xB3F4
02,02,0x0000DA27,0xFFFFE727,0x00002AE5,0xB422
02,03,0x0000B873,0xFFFFE3BD,0x00003516,0xB3C5
02,04,0x000131A6,0x00001A8B,0x00003876,0xB3BA
02,05,0x0000CA82,0x0000386C,0x00005071,0xB3A7
02,06,0x00011A2A,0x00007A75,0x00000A54,0xB3A7
02,07,0x0000E2B7,0xFFFFED6F,0x00003F4F,0xB414
02,08,0x0000B583,0xFFFFE9A9,0x00004E83,0xB3E6
02,09,0x0000C7FD,0x00000AF1,0x00002505,0xB3D1
02,10,0x00010A3D,0xFFFFDFCD,0x00004CD1,0xB3D8
02,11,0x0000AAB2,0xFFFFE970,0x0000060A,0xB3F2
02,12,0x000117A5,0xFFFFEDB7,0x0000383E,0xB3B5
02,13,0x0000D74E,0xFFFFFA38,0x000038C9,0xB411
02,14,0x0000B682,0xFFFFD44D,0x000048CE,0xB3DD
02,15,0x00009E98,0xFFFFF517,0x000038E3,0xB3EB
02,16,0x0000B3C3,0x00001674,0x00001965,0xB41A
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CE7C,0xFFFFC5BD,0x00004E82,0xB3F5
03,02,0x000119CF,0xFFFFF139,0x00003365,0xB3E0
03,03,0x000100FF,0x0000020E,0x00004129,0xB416
03,04,0x0000ED1F,0xFFFFFE3E,0x00002344,0xB3F7
03,05,0x000115EF,0xFFFFFB11,0x00005F9C,0xB396
