# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 14:59:54
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C43B,0xFFFFEE29,0x0000127C,0xB3DE
01,02,0x00011A54,0x00002482,0x0000321C,0xB3F4
01,03,0x0000B0BE,0xFFFFDDBD,0x00004CA9,0xB3E0
01,04,0x000104B2,0x0000107B,0x00002A30,0xB3D9
01,05,0x0000B31B,0xFFFFFCA4,0x0000296B,0xB3CB
01,06,0x0000DF0D,0xFFFFFCE6,0x0000386F,0xB3B1
01,07,0x0000FAA0,0xFFFFD850,0x00004567,0xB3F2
01,08,0x0000D540,0xFFFFD38F,0x00004119,0xB3E3
01,09,0x0000AF47,0x00000D24,0x00002C57,0xB428
01,10,0x0000CB8F,0xFFFFCD69,0x000030EE,0xB401
01,11,0x0000D8F3,0xFFFFFD30,0x00002CE5,0xB3F4
01,12,0x0000C768,0xFFFFF6F7,0x00003C00,0xB406
01,13,0x0000C247,0xFFFFC2D5,0x000037AB,0xB3C1
01,14,0x0000A950,0xFFFF96FF,0x00004F5C,0xB3EB
01,15,0x0000A28A,0x00003CAF,0x00001C33,0xB3DC
01,16,0x0000ACDA,0xFFFFDB8D,0x000042E5,0xB3F1
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000EBBB,0xFFFFEBC4,0x000045A1,0xB3F6
02,02,0x0000D98E,0xFFFFE6AC,0x00002BB9,0xB426
02,03,0x0000B823,0xFFFFE4A8,0x0000357D,0xB3C9
02,04,0x0001318B,0x000018C7,0x0000385C,0xB3B4
02,05,0x0000C92B,0x000037DE,0x000050FF,0xB3AC
02,06,0x00011853,0x00007ABD,0x00000ACA,0xB3A9
02,07,0x0000E087,0xFFFFEDCC,0x00003F75,0xB413
02,08,0x0000B573,0xFFFFEBB0,0x00004E6A,0xB3E7
02,09,0x0000C894,0x00000C51,0x00002598,0xB3D5
02,10,0x00010B50,0xFFFFE08A,0x00004CC7,0xB3D7
02,11,0x0000AA6E,0xFFFFE920,0x00000631,0xB3F2
02,12,0x00011716,0xFFFFED25,0x00003867,0xB3B5
02,13,0x0000D7DF,0xFFFFFB98,0x00003864,0xB410
02,14,0x0000B6E7,0xFFFFD5E5,0x00004784,0xB3E0
02,15,0x00009F35,0xFFFFF41B,0x0000383E,0xB3EC
02,16,0x0000B3C2,0x000016D3,0x000018E3,0xB41F
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CDCC,0xFFFFC732,0x00004EC3,0xB3F8
03,02,0x00011A8C,0xFFFFF174,0x00003342,0xB3DB
03,03,0x000100BE,0x00000279,0x000041BB,0xB415
03,04,0x0000ED2B,0xFFFFFD36,0x00002450,0xB3F7
03,05,0x00011677,0xFFFFFA30,0x00005F6A,0xB399
03,06,0x0000F348,0xFFFFF008,0x00002691,0xB3DA
03,07,0x00011F69,0xFFFFC9C5,0x0000488A,0xB3E8
03,08,0x000135C2,0xFFFFC838,0x00004A33,0xB3F7
03,09,0x0000F744,0xFFFFDDFF,0x00003D65,0xB3FD
03,10,0x00012099,0xFFFFC13D,0x00003C64,0xB409
03,11,0x0000D655,0x00000A2B,0x00004261,0xB439
03,12,0x0000F360,0x00004AFF,0x00002BAE,0xB41C
03,13,0x0000DE8C,0xFFFFAB20,0x00003A0B,0xB3EF
03,14,0x0000E008,0xFFFFCEA3,0x00005153,0xB3FB
03,15,0x0000BE7E,0x000002B7,0x0000312C,0xB3D0
03,16,0x0000E4F7,0xFFFFD19B,0x00002C47,0xB3FA
03,17,0x00000000,0x00000000,0x00000000,0x0000
03,18,0x00000000,0x00000000,0x00000000,0x0000
03,19,0x00000000,0x00000000,0x00000000,0x0000
03,20,0x00000000,0x00000000,0x00000000,0x0000
03,21,0x00000000,0x00000000,0x00000000,0x0000
03,22,0x00000000,0x00000000,0x00000000,0x0000
03,23,0x00000000,0x00000000,0x00000000,0x0000
03,24,0x00000000,0x00000000,0x00000000,0x0000
03,25,0x00000000,0x00000000,0x00000000,0x0000
03,26,0x00000000,0x00000000,0x00000000,0x0000
03,27,0x00000000,0x00000000,0x00000000,0x0000
03,28,0x00000000,0x00000000,0x00000000,0x0000
03,29,0x00000000,0x00000000,0x00000000,0x0000
03,30,0x00000000,0x00000000,0x00000000,0x0000
03,31,0x00000000,0x00000000,0x00000000,0x0000
03,32,0x00000000,0x00000000,0x00000000,0x0000
04,01,0x0001025A,0x000016B5,0x00004A81,0xB41F
04,02,0x0000D364,0x0000122A,0x00002813,0xB40E
04,03,0x0001036B,0x00003BE9,0x00001A04,0xB40D
04,04,0x0000ED12,0x0000044C,0x00004FA4,0xB3C3
04,05,0x0000D3F7,0x00002217,0x0000115F,0xB39C
04,06,0x00010040,0xFFFFFC3D,0x00005FEA,0xB436
04,07,0x0000F8A0,0xFFFFBB1E,0x00006939,0xB459
04,08,0x00011E52,0xFFFFBEBE,0x00004E94,0xB3E6
04,09,0x0000F40A,0xFFFFFCF8,0x00003373,0xB3E2
04,10,0x0000D404,0xFFFFFD0F,0x00004100,0xB447
04,11,0x00010CBF,0x000012F2,0x00002D2F,0xB3F3
04,12,0x0000CB53,0xFFFFAF17,0x00003AAC,0xB41F
04,13,0x0000E954,0x00001B4F,0x00004269,0xB43D
04,14,0x00012035,0x00000164,0x000042C5,0xB3C7
04,15,0x0000D64C,0xFFFFDB2B,0x0000378D,0xB397
04,16,0x000105FF,0xFFFFD940,0x00002816,0xB3B2
04,17,0x00000000,0x00000000,0x00000000,0x0000
04,18,0x00000000,0x00000000,0x00000000,0x0000
04,19,0x00000000,0x00000000,0x00000000,0x0000
04,20,0x00000000,0x00000000,0x00000000,0x0000
04,21,0x00000000,0x00000000,0x00000000,0x0000
04,22,0x00000000,0x00000000,0x00000000,0x0000
04,23,0x00000000,0x00000000,0x00000000,0x0000
04,24,0x00000000,0x00000000,0x00000000,0x0000
04,25,0x00000000,0x00000000,0x00000000,0x0000
