# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 14:14:36
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C3D3,0xFFFFEEC0,0x000012C4,0xB3DF
01,02,0x00011A94,0x000024A9,0x0000312A,0xB3EE
01,03,0x0000B24B,0xFFFFDD7F,0x00004CB9,0xB3DB
01,04,0x000104E6,0x00001078,0x000029EC,0xB3D3
01,05,0x0000B375,0xFFFFFDC6,0x00002915,0xB3BD
01,06,0x0000DF02,0xFFFFFD9D,0x00003988,0xB3AB
01,07,0x0000FA48,0xFFFFD8D3,0x00004606,0xB3F1
01,08,0x0000D66E,0xFFFFD3EF,0x0000402D,0xB3E3
01,09,0x0000B100,0x00000D50,0x00002CBE,0xB41E
01,10,0x0000CBCD,0xFFFFCDE4,0x000030CB,0xB3FB
01,11,0x0000D98C,0xFFFFFD73,0x00002C60,0xB3EE
01,12,0x0000C8F1,0xFFFFF49D,0x00003B54,0xB401
01,13,0x0000C18F,0xFFFFC353,0x00003798,0xB3BC
01,14,0x0000A7EF,0xFFFF975D,0x00005001,0xB3EE
01,15,0x0000A2B1,0x00003BE6,0x00001CAD,0xB3D7
01,16,0x0000AE29,0xFFFFDB20,0x000042AF,0xB3F0
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000EDCF,0xFFFFEB8B,0x000045FF,0xB3F0
02,02,0x0000D9C0,0xFFFFE728,0x00002B1D,0xB425
02,03,0x0000B823,0xFFFFE375,0x000034D0,0xB3C2
02,04,0x00013083,0x00001A22,0x00003886,0xB3B8
02,05,0x0000C90E,0x00003890,0x00005070,0xB3A6
02,06,0x00011909,0x00007B1A,0x000009B2,0xB3A5
02,07,0x0000E26A,0xFFFFEF9C,0x00004065,0xB40E
02,08,0x0000B5EE,0xFFFFEBDA,0x00004F46,0xB3E3
02,09,0x0000C954,0x00000AFA,0x00002558,0xB3D1
02,10,0x00010B30,0xFFFFE011,0x00004D47,0xB3D6
02,11,0x0000AAF7,0xFFFFE909,0x00000597,0xB3F0
02,12,0x00011775,0xFFFFEC75,0x00003812,0xB3B2
02,13,0x0000D8CA,0xFFFFFB60,0x0000384F,0xB40A
02,14,0x0000B7B2,0xFFFFD496,0x0000485E,0xB3DF
02,15,0x00009F58,0xFFFFF4AA,0x00003920,0xB3E5
02,16,0x0000B39E,0x00001675,0x00001969,0xB419
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CE7B,0xFFFFC732,0x00004EE3,0xB3F1
03,02,0x000119D3,0xFFFFF18C,0x00003361,0xB3D6
03,03,0x000100A1,0x00000250,0x00004171,0xB414
03,04,0x0000EB91,0xFFFFFDBE,0x00002345,0xB3F0
03,05,0x000114E5,0xFFFFFB34,0x00005F64,0xB394
03,06,0x0000F0FC,0xFFFFF01A,0x0000274A,0xB3D5
03,07,0x00011F7B,0xFFFFC9EC,0x0000498E,0xB3E5
03,08,0x00013611,0xFFFFC930,0x00004AE2,0xB3F2
03,09,0x0000F842,0xFFFFDF17,0x00003DA3,0xB3F7
03,10,0x0001211F,0xFFFFC059,0x00003CC6,0xB407
03,11,0x0000D7AE,0x00000ACB,0x00004350,0xB430
03,12,0x0000F368,0x00004A26,0x00002B5A,0xB417
03,13,0x0000DDB9,0xFFFFAC56,0x00003A73,0xB3EB
03,14,0x0000DF30,0xFFFFCEC2,0x000051C8,0xB3F6
03,15,0x0000C014,0x00000237,0x00003032,0xB3C6
03,16,0x0000E49F,0xFFFFD1C3,0x00002C0F,0xB3F5
03,17,0x00000000,0x00000000,0x00000000,0x0000
03,18,0x00000000,0x00000000,0x00000000,0x0000
03,19,0x00000000,0x00000000,0x00000000,0x0000
03,20,0x00000000,0x00000000,0x00000000,0x0000
03,21,0x00000000,0x00000000,0x00000000,0x0000
03,22,0x00000000,0x00000000,0x00000000,0x0000
03,23,0x00000000,0x00000000,0x00000000,0x0000
03,24,0x00000000,0x00000000,0x00000000,0x0000
03,25,0x00000000,0x00000000,0x00000000,0x0000
03,26,0x00000000,0x00000000,0x00000000,0x0000
03,27,0x00000000,0x00000000,0x00000000,0x0000
03,28,0x00000000,0x00000000,0x00000000,0x0000
03,29,0x00000000,0x00000000,0x00000000,0x0000
03,30,0x00000000,0x00000000,0x00000000,0x0000
03,31,0x00000000,0x00000000,0x00000000,0x0000
03,32,0x00000000,0x00000000,0x00000000,0x0000
04,01,0x00010165,0x00001715,0x00004A6E,0xB416
04,02,0x0000D482,0x000010E2,0x000029F1,0xB408
04,03,0x00010341,0x00003BFA,0x000019AE,0xB40C
04,04,0x0000EC21,0x00000474,0x00004FD2,0xB3C0
04,05,0x0000D3EF,0x000023EC,0x000012FA,0xB39E
04,06,0x00010024,0xFFFFFC96,0x0000600F,0xB431
04,07,0x0000F8B6,0xFFFFBB42,0x00006841,0xB452
04,08,0x00011E82,0xFFFFBE17,0x00004FBF,0xB3DF
04,09,0x0000F530,0xFFFFFD90,0x0000338F,0xB3D8
04,10,0x0000D504,0xFFFFFCFF,0x000041B5,0xB444
04,11,0x00010D1F,0x00001350,0x00002CDF,0xB3F2
04,12,0x0000CBC0,0xFFFFB02A,0x00003A98,0xB416
04,13,0x0000E9C5,0x00001AD3,0x00004294,0xB436
04,14,0x0001205B,0xFFFFFF3B,0x000043B8,0xB3C6
04,15,0x0000D747,0xFFFFDBA7,0x000037D0,0xB393
04,16,0x00010601,0xFFFFD747,0x00002775,0xB3AD
04,17,0x00000000,0x00000000,0x00000000,0x0000
04,18,0x00000000,0x00000000,0x00000000,0x0000
04,19,0x00000000,0x00000000,0x00000000,0x0000
04,20,0x00000000,0x00000000,0x00000000,0x0000
04,21,0x00000000,0x00000000,0x00000000,0x0000
04,22,0x00000000,0x00000000,0x00000000,0x0000
04,23,0x00000000,0x00000000,0x00000000,0x0000
04,24,0x00000000,0x00000000,0x00000000,0x0000
04,25,0x00000000,0x00000000,0x00000000,0x0000
04,26,0x00000000,0x00000000,0x00000000,0x0000
04,27,0x00000000,0x00000000,0x00000000,0x0000
04,28,0x00000000,0x00000000,0x00000000,0x0000
04,29,0x00000000,0x00000000,0x00000000,0x0000
04,30,0x00000000,0x00000000,0x00000000,0x0000
04,31,0x00000000,0x00000000,0x00000000,0x0000
04,32,0x00000000,0x00000000,0x00000000,0x0000
05,01,0x0000D747,0xFFFFCA60,0x00002B99,0xB3D5
05,02,0x00010DB4,0x00002ADA,0x00003063,0xB3EB
05,03,0x0001082C,0x0000061D,0x00002BD2,0xB3E4
05,04,0x00011D86,0xFFFFA05E,0x00007029,0xB3D3
05,05,0x00010384,0x0000140C,0x00001C8E,0xB3E8
05,06,0x0000FAF5,0xFFFFDF7C,0x00003930,0xB3F3
05,07,0x0000EFC1,0xFFFFB36C,0x00004E10,0xB3D8
05,08,0x0000C9E2,0x00000E3D,0x0000325C,0xB3EB
05,09,0x00011EFA,0x000005AD,0x00004DB3,0xB3EE
05,10,0x0000D9E1,0xFFFFF737,0x00003A51,0xB040
05,11,0x00010466,0xFFFFB23D,0x00004EBB,0xB3E9
05,12,0x000107E0,0xFFFFCD04,0x0000396E,0xB3C5
05,13,0x000079D5,0x00000CC9,0x00002D1D,0xB3D7
05,14,0x0000E49C,0xFFFFD927,0x000036FC,0xB3E9
05,15,0x0000BC43,0xFFFFB037,0x00003D28,0xB3C8
05,16,0x0000A37A,0xFFFFFBFA,0x000048B8,0xB411
05,17,0x00000000,0x00000000,0x00000000,0x0000
05,18,0x00000000,0x00000000,0x00000000,0x0000
05,19,0x00000000,0x00000000,0x00000000,0x0000
05,20,0x00000000,0x00000000,0x00000000,0x0000
05,21,0x00000000,0x00000000,0x00000000,0x0000
05,22,0x00000000,0x00000000,0x00000000,0x0000
05,23,0x00000000,0x00000000,0x00000000,0x0000
05,24,0x00000000,0x00000000,0x00000000,0x0000
05,25,0x00000000,0x00000000,0x00000000,0x0000
05,26,0x00000000,0x00000000,0x00000000,0x0000
05,27,0x00000000,0x00000000,0x00000000,0x0000
05,28,0x00000000,0x00000000,0x00000000,0x0000
05,29,0x00000000,0x00000000,0x00000000,0x0000
05,30,0x00000000,0x00000000,0x00000000,0x0000
05,31,0x00000000,0x00000000,0x00000000,0x0000
05,32,0x00000000,0x00000000,0x00000000,0x0000
06,01,0x000114D3,0x00001558,0x000036A5,0xB43F
06,02,0x000117E7,0xFFFFE869,0x00004B2B,0xB3F7
06,03,0x00010B71,0xFFFFD3FA,0x00005315,0xB3AD
06,04,0x0000FC18,0xFFFFD696,0x0000526A,0xB410
06,05,0x0000FA6D,0xFFFFDF01,0x00004867,0xB3C9
06,06,0x0000E242,0x000049D0,0x000030FA,0xB3DC
06,07,0x00010414,0xFFFFFB02,0x000044F3,0xB3F5
06,08,0x0000CA51,0xFFFFEFB7,0x000037B2,0xB3DB
06,09,0x000111C3,0x000019AD,0x00003657,0xB30C
06,10,0x00012AFC,0x0000352F,0x00001EFC,0xB3D8
06,11,0x0000E7D3,0xFFFF9632,0x000036EF,0xB3A3
06,12,0x00010018,0xFFFFE561,0x000044D3,0xB414
06,13,0x0000FDBB,0xFFFFCDB7,0x0000573C,0xB3CD
06,14,0x000122BD,0xFFFFB96A,0x000019F5,0xB3CE
06,15,0x0000B588,0xFFFFE64D,0x00004BF1,0xB3F9
06,16,0x00010138,0xFFFF958D,0x000038F5,0xB414
06,17,0x00000000,0x00000000,0x00000000,0x0000
06,18,0x00000000,0x00000000,0x00000000,0x0000
06,19,0x00000000,0x00000000,0x00000000,0x0000
06,20,0x00000000,0x00000000,0x00000000,0x0000
06,21,0x00000000,0x00000000,0x00000000,0x0000
06,22,0x00000000,0x00000000,0x00000000,0x0000
06,23,0x00000000,0x00000000,0x00000000,0x0000
06,24,0x00000000,0x00000000,0x00000000,0x0000
06,25,0x00000000,0x00000000,0x00000000,0x0000
06,26,0x00000000,0x00000000,0x00000000,0x0000
06,27,0x00000000,0x00000000,0x00000000,0x0000
06,28,0x00000000,0x00000000,0x00000000,0x0000
06,29,0x00000000,0x00000000,0x00000000,0x0000
06,30,0x00000000,0x00000000,0x00000000,0x0000
06,31,0x00000000,0x00000000,0x00000000,0x0000
06,32,0x00000000,0x00000000,0x00000000,0x0000
07,01,0x00012ACE,0xFFFFB774,0x00004726,0xB42F
07,02,0x00013026,0xFFFFA67E,0x0000569E,0xB3F0
07,03,0x0000EA3D,0xFFFFEF6A,0x0000652F,0xB43B
07,04,0x00011B0B,0xFFFFE9C5,0x0000402A,0xB3A9
07,05,0x0000ECF4,0xFFFFF249,0x000054F2,0xB3E9
07,06,0x0001369C,0x000008D1,0x000030EC,0xB3FC
07,07,0x0001024F,0x00000CD7,0x00004831,0xB3BE
07,08,0x00013C53,0x000003F0,0x00003A1E,0xB3D9
07,09,0x00014B6B,0x00000ABA,0x0000238C,0xB3B7
07,10,0x000141F5,0x00000F28,0x00004444,0xB3B5
07,11,0x0001090D,0xFFFFF41A,0x00004077,0xB3FC
07,12,0x00013DC9,0xFFFFDAEC,0x00003D22,0xB3C6
07,13,0x0000F593,0xFFFFEF5F,0x000039B9,0xB3C4
07,14,0x00011C2B,0xFFFF9572,0x00006C64,0xB402
07,15,0x000126A5,0xFFFFDB87,0x00004421,0xB3CA
