# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 14:53:25
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C427,0xFFFFED64,0x000012EA,0xB3DF
01,02,0x00011A07,0x00002402,0x00003159,0xB3EE
01,03,0x0000B27C,0xFFFFDF3B,0x00004CCB,0xB3DA
01,04,0x000104D8,0x00001132,0x00002A13,0xB3D5
01,05,0x0000B30C,0xFFFFFB92,0x000029EA,0xB3C5
01,06,0x0000DF25,0xFFFFFB85,0x00003932,0xB3B0
01,07,0x0000FA7A,0xFFFFD8FF,0x00004647,0xB3F4
01,08,0x0000D648,0xFFFFD287,0x00004045,0xB3E5
01,09,0x0000B078,0x00000C60,0x00002D25,0xB429
01,10,0x0000CBEA,0xFFFFCDFB,0x00003147,0xB3FF
01,11,0x0000D8E2,0xFFFFFC5B,0x00002BE4,0xB3F6
01,12,0x0000C976,0xFFFFF6DB,0x00003B8D,0xB405
01,13,0x0000C1FC,0xFFFFC213,0x000037FD,0xB3BE
01,14,0x0000A7DB,0xFFFF9705,0x00004F0D,0xB3EE
01,15,0x0000A38C,0x00003BE4,0x00001DE1,0xB3E1
01,16,0x0000AE88,0xFFFFDBC6,0x00004161,0xB3F5
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
