# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 15:32:07
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C45F,0xFFFFEE0B,0x0000130E,0xB3DA
01,02,0x00011A74,0x000024A8,0x00003185,0xB3F3
01,03,0x0000B242,0xFFFFDF25,0x00004CC3,0xB3D9
01,04,0x000105EF,0x00000FDF,0x00002A7A,0xB3D5
01,05,0x0000B477,0xFFFFFD32,0x000029DB,0xB3CC
01,06,0x0000DEDD,0xFFFFFB83,0x0000391E,0xB3AE
01,07,0x0000FB63,0xFFFFD717,0x0000465D,0xB3F2
01,08,0x0000D5B0,0xFFFFD1E0,0x0000404F,0xB3E4
01,09,0x0000AF72,0x00000D21,0x00002CD1,0xB428
01,10,0x0000CADB,0xFFFFCD2A,0x00003018,0xB3FC
01,11,0x0000D9BB,0xFFFFFDB0,0x00002C95,0xB3F0
01,12,0x0000C828,0xFFFFF682,0x00003B13,0xB403
01,13,0x0000C0F1,0xFFFFC405,0x000037DD,0xB3BC
01,14,0x0000A7D4,0xFFFF97D0,0x00004FF3,0xB3E7
01,15,0x0000A263,0x00003C2F,0x00001D17,0xB3DE
01,16,0x0000AD53,0xFFFFDBC2,0x000041C9,0xB3EA
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000ED68,0xFFFFEBBA,0x00004623,0xB3F2
02,02,0x0000D9C3,0xFFFFE78C,0x00002B37,0xB421
02,03,0x0000B7FB,0xFFFFE3B4,0x00003630,0xB3C6
02,04,0x00013133,0x0000192D,0x00003892,0xB3BD
02,05,0x0000CA0E,0x00003866,0x00005048,0xB3AC
02,06,0x0001187C,0x00007A9B,0x0000091C,0xB3A9
02,07,0x0000E157,0xFFFFEE0F,0x00003F38,0xB410
02,08,0x0000B571,0xFFFFEBD1,0x00004F3E,0xB3E6
02,09,0x0000C876,0x00000ADD,0x000024EE,0xB3D3
02,10,0x00010AC0,0xFFFFDF97,0x00004C17,0xB3D8
02,11,0x0000AA27,0xFFFFE987,0x00000621,0xB3F4
02,12,0x000116B8,0xFFFFED0F,0x0000382A,0xB3B7
02,13,0x0000D83E,0xFFFFFAA9,0x0000388D,0xB410
02,14,0x0000B5EA,0xFFFFD475,0x000047AA,0xB3DD
02,15,0x00009FC9,0xFFFFF52A,0x0000395D,0xB3EC
02,16,0x0000B3DC,0x000016BF,0x00001995,0xB41D
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CE2F,0xFFFFC76E,0x00004DE3,0xB3F5
03,02,0x00011A13,0xFFFFF0D8,0x0000332F,0xB3DA
03,03,0x000100BB,0x00000315,0x0000417A,0xB416
03,04,0x0000EDF4,0xFFFFFDA5,0x00002455,0xB3EF
03,05,0x0001160C,0xFFFFFAC0,0x00005E95,0xB396
03,06,0x0000F38B,0xFFFFEEE6,0x00002738,0xB3D5
03,07,0x00012024,0xFFFFC92E,0x0000491B,0xB3E6
03,08,0x0001352E,0xFFFFC7E7,0x00004976,0xB3F3
03,09,0x0000F6CF,0xFFFFDE5D,0x00003C85,0xB3FD
03,10,0x00011FC0,0xFFFFC194,0x00003BE1,0xB409
03,11,0x0000D572,0x0000090B,0x00004277,0xB435
03,12,0x0000F396,0x00004B82,0x00002B5C,0xB418
03,13,0x0000DDFA,0xFFFFAB2E,0x000039D4,0xB3ED
03,14,0x0000DF8F,0xFFFFCE3D,0x00005070,0xB3F7
03,15,0x0000BFF7,0x0000014D,0x00002F52,0xB3CC
03,16,0x0000E50A,0xFFFFD1A9,0x00002B95,0xB3F5
