# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 15:57:55
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C397,0xFFFFEEE9,0x00001413,0xB3DD
01,02,0x00011AA5,0x000023C5,0x00003261,0xB3ED
01,03,0x0000B18C,0xFFFFDD3B,0x00004CE6,0xB3D8
01,04,0x00010664,0x00001080,0x00002AC3,0xB3D1
01,05,0x0000B523,0xFFFFFC54,0x000029C4,0xB3CB
01,06,0x0000E008,0xFFFFFCA0,0x0000397C,0xB3AE
01,07,0x0000FC78,0xFFFFD818,0x000046D7,0xB3EF
01,08,0x0000D7AD,0xFFFFD2B8,0x0000400A,0xB3E5
01,09,0x0000B032,0x00000C84,0x00002BAB,0xB423
01,10,0x0000CC44,0xFFFFCE9C,0x00003120,0xB3FE
01,11,0x0000D9BA,0xFFFFFD82,0x00002B52,0xB3ED
01,12,0x0000C8BF,0xFFFFF545,0x00003C18,0xB405
01,13,0x0000C22F,0xFFFFC354,0x000036EC,0xB3BC
01,14,0x0000A81D,0xFFFF96B2,0x00004F69,0xB3EC
01,15,0x0000A2E4,0x00003C71,0x00001D44,0xB3DB
01,16,0x0000AE0F,0xFFFFDBE8,0x0000424C,0xB3EA
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000ED8B,0xFFFFEB31,0x000045EC,0xB3F3
02,02,0x0000D9ED,0xFFFFE75A,0x00002B9B,0xB426
02,03,0x0000B84E,0xFFFFE3FA,0x000036B3,0xB3C8
02,04,0x0001306B,0x000019C7,0x00003980,0xB3B9
02,05,0x0000CACB,0x0000386C,0x00005160,0xB3AA
02,06,0x0001196A,0x00007A4B,0x00000A65,0xB3A7
02,07,0x0000E2C5,0xFFFFED5F,0x00004038,0xB40F
02,08,0x0000B656,0xFFFFE94E,0x00004E83,0xB3E2
02,09,0x0000C7D2,0x00000A9C,0x0000257B,0xB3D2
02,10,0x00010A05,0xFFFFE0E0,0x00004C44,0xB3D5
02,11,0x0000AA63,0xFFFFE99D,0x000004D9,0xB3EF
02,12,0x00011789,0xFFFFED10,0x000037D8,0xB3B5
02,13,0x0000D70A,0xFFFFFAEC,0x00003900,0xB411
02,14,0x0000B6F6,0xFFFFD40D,0x000048A5,0xB3E1
02,15,0x00009FA5,0xFFFFF47E,0x0000381B,0xB3E3
02,16,0x0000B202,0x00001794,0x000018E3,0xB41E
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CE72,0xFFFFC686,0x00004CD7,0xB3F4
03,02,0x000119F2,0xFFFFF002,0x000032D3,0xB3DD
03,03,0x000101DF,0x000001FB,0x0000413A,0xB414
03,04,0x0000EDBC,0xFFFFFDDD,0x0000231E,0xB3F0
03,05,0x0001179B,0xFFFFFC06,0x00005E62,0xB391
03,06,0x0000F4BF,0xFFFFEDF3,0x00002751,0xB3D7
03,07,0x00011FC3,0xFFFFC88E,0x000048E1,0xB3E7
03,08,0x0001361B,0xFFFFC86D,0x00004959,0xB3F0
03,09,0x0000F6E0,0xFFFFDD01,0x00003D57,0xB3FD
03,10,0x0001201E,0xFFFFC26D,0x00003C10,0xB408
03,11,0x0000D5EB,0x00000A79,0x00004302,0xB433
